Cliente ID,Edad,Genero,Item Comprado,Categoria,Cantidad de Compra (USD),Ubicacion,Tamaño,Color,Temporada,Calificacion de Reviews,Status de Suscripcion,Tipo de Envio,Descuento Aplicado ,Promocion Usada,Compras Anteriores,Metodo de Pago,Frecuencia de Compras
18,53,Masculino,Vestido,Vestimenta,38,Mississippi,XL,Lavender,Invierno,4.7,Si,Envio 2-Dias,Si,Si,36,Venmo,Trimestral
19,52,Masculino,Sueter,Vestimenta,48,Montana,S,Negro,Verano,4.6,Si,Envio Gratis,Si,Si,17,Efectivo,Semanalmente
20,66,Masculino,Pantalones,Vestimenta,90,Rhode Island,M,Verde,Verano,3.3,Si,Standard,Si,Si,46,Tarjeta de Debito,Cada 2 semanas
21,21,Masculino,Pantalones,Vestimenta,51,Louisiana,M,Negro,Invierno,2.8,Si,Express,Si,Si,50,Efectivo,Cada 3 Meses
22,31,Masculino,Pantalones,Vestimenta,62,North Carolina,M,Charcoal,Invierno,4.1,Si,Recojer en Tienda,Si,Si,22,Tarjeta de Debito,Trimestral
23,56,Masculino,Pantalones,Vestimenta,37,California,M,Durazno,Verano,3.2,Si,Recojer en Tienda,Si,Si,32,Tarjeta de Debito,Anualmente
24,31,Masculino,Pantalones,Vestimenta,88,Oklahoma,XL,Blanco,Invierno,4.4,Si,Express,Si,Si,40,Tarjeta de Credito,Semanalmente
25,18,Masculino,Chaqueta,Ropa exterior,22,Florida,M,Verde,Otoño,2.9,Si,Recojer en Tienda,Si,Si,16,Tarjeta de Debito,Semanalmente
26,18,Masculino,Hoodie,Vestimenta,25,Texas,M,Plateado,Verano,3.6,Si,Express,Si,Si,14,PayPal,Anualmente
27,38,Masculino,Joyeria,Accesorios,20,Nevada,M,Rojo,Primavera,3.6,Si,Envio Dia Siguiente,Si,Si,13,Tarjeta de Credito,Anualmente
28,56,Masculino,Shorts,Vestimenta,56,Kentucky,L,Cyan,Verano,5,Si,Envio Dia Siguiente,Si,Si,7,Transferencia Bancaria ,Cada 3 Meses
29,54,Masculino,Bolsa,Accesorios,94,North Carolina,M,Gris,Otoño,4.4,Si,Envio Gratis,Si,Si,41,PayPal,Cada 3 Meses
30,31,Masculino,Vestido,Vestimenta,48,Wyoming,S,Negro,Otoño,4.1,Si,Recojer en Tienda,Si,Si,14,Tarjeta de Credito,Semanalmente
31,57,Masculino,Joyeria,Accesorios,31,North Carolina,L,Negro,Invierno,4.7,Si,Standard,Si,Si,16,Tarjeta de Credito,Mensualmente
32,33,Masculino,Vestido,Vestimenta,79,West Virginia,L,Cafe,Invierno,4.7,Si,Recojer en Tienda,Si,Si,45,Venmo,Mensualmente
33,36,Masculino,Chaqueta,Ropa exterior,67,Kansas,M,Plateado,Verano,4.9,Si,Envio Gratis,Si,Si,37,Venmo,Anualmente
34,54,Masculino,Pantalones,Vestimenta,38,Colorado,L,Verde,Verano,3.3,Si,Recojer en Tienda,Si,Si,45,Efectivo,Trimestral
35,36,Masculino,Playera,Vestimenta,91,North Dakota,L,Violeta,Primavera,4.6,Si,Envio 2-Dias,Si,Si,38,PayPal,Trimestral
36,54,Masculino,Blusa,Vestimenta,33,Massachusetts,M,Cyan,Verano,4,Si,Envio 2-Dias,Si,Si,48,Tarjeta de Credito,Cada 2 semanas
37,35,Masculino,Playera,Vestimenta,69,Illinois,M,Maroon,Invierno,4.6,Si,Envio Gratis,Si,Si,44,PayPal,Quincena
38,35,Masculino,Jeans,Vestimenta,45,Indiana,S,Cyan,Verano,2.8,Si,Recojer en Tienda,Si,Si,10,PayPal,Semanalmente
39,29,Masculino,Vestido,Vestimenta,37,Florida,M,Rojo,Invierno,,Si,Envio 2-Dias,Si,Si,44,Venmo,Cada 3 Meses
40,70,Masculino,Pantalones,Vestimenta,60,Arizona,S,Turquesa,Verano,4.2,Si,Express,Si,Si,18,Tarjeta de Credito,Mensualmente
41,69,Masculino,Bolsa,Accesorios,76,Louisiana,L,Beige,Invierno,4.6,Si,Envio Dia Siguiente,Si,Si,31,Tarjeta de Debito,Trimestral
42,67,Masculino,Bufanda,Accesorios,39,Alaska,M,Naranja,Primavera,4.5,Si,Standard,Si,Si,40,Venmo,Anualmente
43,20,Masculino,Abrigo,Ropa exterior,100,Tennessee,M,Beige,Primavera,4.1,Si,Envio Gratis,Si,Si,15,PayPal,Anualmente
44,25,Masculino,Bufanda,Accesorios,69,Ohio,L,Lavender,Otoño,3.7,Si,Recojer en Tienda,Si,Si,19,PayPal,Quincena
45,39,Masculino,Sombrero,Accesorios,53,Kentucky,S,Plateado,Verano,4.6,Si,Envio Gratis,Si,Si,45,PayPal,Semanalmente
46,50,Masculino,Calcetines,Vestimenta,21,Tennessee,XL,Indigo,Otoño,2.9,Si,Envio 2-Dias,Si,Si,25,PayPal,Anualmente
47,57,Masculino,Camiseta,Vestimenta,43,California,L,Blanco,Verano,2.9,Si,Recojer en Tienda,Si,Si,45,Efectivo,Trimestral
48,55,Masculino,Joyeria,Accesorios,54,Montana,M,Charcoal,Invierno,4.5,Si,Envio Gratis,Si,Si,36,Efectivo,Semanalmente
49,42,Masculino,Camiseta,Vestimenta,55,Nevada,M,Naranja,Verano,2.7,Si,Recojer en Tienda,Si,Si,38,Efectivo,Mensualmente
50,68,Masculino,Hoodie,Vestimenta,30,New Jersey,S,Indigo,Primavera,4.6,Si,Envio Dia Siguiente,Si,Si,34,Tarjeta de Debito,Cada 2 semanas
51,49,Masculino,Blusa,Vestimenta,28,Maryland,M,Rojo,Primavera,,Si,Recojer en Tienda,Si,Si,39,Tarjeta de Debito,Cada 2 semanas
52,59,Masculino,Falda,Vestimenta,59,Vermont,XL,Gris,Invierno,4.7,Si,Envio 2-Dias,Si,Si,7,Tarjeta de Credito,Trimestral
53,42,Masculino,Playera,Vestimenta,20,Alaska,M,Verde,Verano,2.6,Si,Envio Gratis,Si,Si,26,Tarjeta de Credito,Semanalmente
54,29,Masculino,Falda,Vestimenta,24,Mississippi,S,Durazno,Invierno,3.9,Si,Envio Dia Siguiente,Si,Si,35,Tarjeta de Credito,Semanalmente
55,47,Masculino,Abrigo,Ropa exterior,94,New Mexico,M,Cafe,Verano,4.2,Si,Envio Dia Siguiente,Si,Si,35,Tarjeta de Debito,Cada 2 semanas
56,40,Masculino,Chaqueta,Ropa exterior,28,South Carolina,M,Lavender,Invierno,3,Si,Envio 2-Dias,Si,Si,49,Tarjeta de Credito,Anualmente
57,41,Masculino,Mochila,Accesorios,73,Mississippi,XL,Cafe,Verano,4.7,Si,Recojer en Tienda,Si,Si,46,Tarjeta de Credito,Semanalmente
58,21,Masculino,Abrigo,Ropa exterior,64,West Virginia,M,Blanco,Verano,4.4,Si,Recojer en Tienda,Si,Si,17,Tarjeta de Debito,Quincena
59,69,Masculino,Hoodie,Vestimenta,54,Missouri,M,Charcoal,Verano,4.2,Si,Envio Gratis,Si,Si,29,Venmo,Mensualmente
60,63,Masculino,Cinto,Accesorios,79,Louisiana,L,Amarillo,Primavera,4.6,Si,Standard,Si,Si,4,Tarjeta de Debito,Semanalmente
61,50,Masculino,Sueter,Vestimenta,37,Idaho,L,Cafe,Verano,4,Si,Express,Si,Si,17,Efectivo,Semanalmente
62,55,Masculino,Bufanda,Accesorios,68,Texas,M,Naranja,Invierno,4.7,Si,Recojer en Tienda,Si,Si,21,Tarjeta de Credito,Cada 3 Meses
63,30,Masculino,Tennis,Calzado,21,Mississippi,S,Magenta,Primavera,3.8,Si,Envio Gratis,Si,Si,31,Tarjeta de Credito,Quincena
64,33,Masculino,Lentes de sol,Accesorios,79,Arizona,L,Lavender,Invierno,2.7,Si,Envio 2-Dias,Si,Si,43,Tarjeta de Credito,Semanalmente
65,65,Masculino,Botas,Calzado,83,Alabama,S,Verde,Otoño,4.8,Si,Standard,Si,Si,18,Tarjeta de Debito,Quincena
66,65,Masculino,Mochila,Accesorios,36,New Jersey,M,Morado,Primavera,4.8,Si,Envio 2-Dias,Si,Si,44,Venmo,Cada 3 Meses
67,31,Masculino,Blusa,Vestimenta,94,Pennsylvania,S,Magenta,Invierno,4.7,Si,Envio 2-Dias,Si,Si,3,Venmo,Cada 3 Meses
68,45,Masculino,Abrigo,Ropa exterior,33,Connecticut,L,Gris,Invierno,4.4,Si,Recojer en Tienda,Si,Si,49,Tarjeta de Debito,Mensualmente
69,57,Masculino,Bolsa,Accesorios,46,Utah,L,Plateado,Verano,3.9,Si,Envio Dia Siguiente,Si,Si,21,Efectivo,Cada 3 Meses
70,48,Masculino,Cinto,Accesorios,70,Tennessee,S,Cyan,Verano,4.4,Si,Express,Si,Si,5,Efectivo,Semanalmente
71,22,Masculino,Cinto,Accesorios,29,Alabama,M,Magenta,Otoño,4.2,Si,Express,Si,Si,32,Tarjeta de Debito,Cada 3 Meses
72,36,Masculino,Vestido,Vestimenta,48,Virginia,L,Dorado,Verano,2.9,Si,Express,Si,Si,34,Transferencia Bancaria ,Anualmente
73,18,Masculino,Vestido,Vestimenta,26,Georgia,M,Olive,Invierno,2.9,Si,Recojer en Tienda,Si,Si,21,Transferencia Bancaria ,Cada 3 Meses
74,48,Masculino,Pantalones,Vestimenta,85,Hawaii,M,Teal,Primavera,2.7,Si,Envio Gratis,Si,Si,43,Transferencia Bancaria ,Cada 2 semanas
75,49,Masculino,Guantes,Accesorios,58,Indiana,L,Violeta,Primavera,4.5,Si,Express,Si,Si,3,Efectivo,Mensualmente
76,64,Masculino,Bufanda,Accesorios,85,Utah,M,Azul,Verano,2.7,Si,Envio Gratis,Si,Si,21,Tarjeta de Credito,Anualmente
77,50,Masculino,Sombrero,Accesorios,43,Delaware,S,Teal,Verano,4.2,Si,Envio Gratis,Si,Si,32,Venmo,Mensualmente
78,22,Masculino,Vestido,Vestimenta,53,Delaware,L,Dorado,Verano,3.3,Si,Envio Dia Siguiente,Si,Si,36,Tarjeta de Debito,Quincena
79,50,Masculino,Falda,Vestimenta,91,Nebraska,M,Maroon,Primavera,4.7,Si,Envio Gratis,Si,Si,50,Venmo,Quincena
80,38,Masculino,Chaqueta,Ropa exterior,96,Iowa,M,Olive,Invierno,2.6,Si,Envio 2-Dias,Si,Si,43,Transferencia Bancaria ,Cada 3 Meses
81,19,Masculino,Sandalias,Calzado,72,New York,XL,Azul,Verano,,Si,Recojer en Tienda,Si,Si,24,Tarjeta de Credito,Cada 3 Meses
82,67,Masculino,Zapatos,Calzado,96,Virginia,L,Maroon,Verano,2.6,Si,Express,Si,Si,36,Tarjeta de Credito,Cada 3 Meses
83,19,Masculino,Pantalones,Vestimenta,28,Georgia,S,Olive,Primavera,4,Si,Envio 2-Dias,Si,Si,21,Tarjeta de Credito,Cada 3 Meses
84,36,Masculino,Vestido,Vestimenta,40,Texas,M,Turquesa,Verano,4.1,Si,Standard,Si,Si,34,Transferencia Bancaria ,Semanalmente
85,52,Masculino,Abrigo,Ropa exterior,32,Arizona,S,Durazno,Primavera,4.4,Si,Standard,Si,Si,42,Transferencia Bancaria ,Cada 3 Meses
86,53,Masculino,Lentes de sol,Accesorios,95,New Mexico,M,Charcoal,Invierno,4.5,Si,Envio Dia Siguiente,Si,Si,2,Tarjeta de Debito,Cada 2 semanas
87,24,Masculino,Hoodie,Vestimenta,41,Nevada,L,Rosa,Primavera,3.7,Si,Envio 2-Dias,Si,Si,47,Efectivo,Cada 2 semanas
88,52,Masculino,Zapatos,Calzado,53,Ohio,M,Verde,Otoño,3.7,Si,Envio 2-Dias,Si,Si,44,Tarjeta de Debito,Quincena
89,33,Masculino,Playera,Vestimenta,47,Wyoming,M,Naranja,Otoño,3.5,Si,Envio Gratis,Si,Si,35,Tarjeta de Credito,Mensualmente
90,47,Masculino,Chaqueta,Ropa exterior,83,California,XL,Rosa,Otoño,3.6,Si,Envio Dia Siguiente,Si,Si,15,Efectivo,Trimestral
91,25,Masculino,Sombrero,Accesorios,48,South Carolina,L,Violeta,Verano,2.9,Si,Express,Si,Si,29,Tarjeta de Credito,Mensualmente
92,44,Masculino,Bufanda,Accesorios,99,South Carolina,S,Verde,Invierno,4.6,Si,Standard,Si,Si,18,Tarjeta de Credito,Cada 3 Meses
93,61,Masculino,Chaqueta,Ropa exterior,87,Texas,M,Olive,Invierno,4.4,Si,Envio 2-Dias,Si,Si,13,Venmo,Cada 3 Meses
94,37,Masculino,Sueter,Vestimenta,62,Florida,M,Morado,Otoño,4.5,Si,Standard,Si,Si,46,Tarjeta de Credito,Semanalmente
95,58,Masculino,Falda,Vestimenta,76,Nevada,S,Plateado,Primavera,4.6,Si,Envio Gratis,Si,Si,28,Tarjeta de Credito,Semanalmente
96,37,Masculino,Tennis,Calzado,100,Missouri,L,Rosa,Otoño,3.8,Si,Envio Gratis,Si,Si,48,PayPal,Mensualmente
97,32,Masculino,Guantes,Accesorios,73,Delaware,S,Dorado,Primavera,,Si,Express,Si,Si,43,Venmo,Cada 3 Meses
98,21,Masculino,Zapatos,Calzado,92,Virginia,M,Teal,Invierno,4.8,Si,Recojer en Tienda,Si,Si,37,Efectivo,Anualmente
99,20,Masculino,Jeans,Vestimenta,67,New York,XL,Teal,Primavera,2.6,Si,Envio Dia Siguiente,Si,Si,20,Transferencia Bancaria ,Anualmente
100,26,Masculino,Hoodie,Vestimenta,40,Missouri,XL,Indigo,Verano,3.7,Si,Express,Si,Si,33,Tarjeta de Debito,Trimestral
101,62,Masculino,Lentes de sol,Accesorios,98,South Dakota,M,Maroon,Otoño,2.7,Si,Express,Si,Si,31,Efectivo,Quincena
102,27,Masculino,Abrigo,Ropa exterior,85,North Dakota,XL,Blanco,Primavera,4.6,Si,Express,Si,Si,50,Tarjeta de Credito,Cada 2 semanas
103,51,Masculino,Calcetines,Vestimenta,67,Oklahoma,L,Violeta,Invierno,4.8,Si,Envio Dia Siguiente,Si,Si,35,Tarjeta de Credito,Trimestral
104,54,Masculino,Botas,Calzado,89,West Virginia,L,Rojo,Invierno,4,Si,Envio Dia Siguiente,Si,Si,22,Venmo,Cada 2 semanas
105,55,Masculino,Lentes de sol,Accesorios,24,New Hampshire,L,Rosa,Primavera,4.4,Si,Envio 2-Dias,Si,Si,1,PayPal,Mensualmente
106,69,Masculino,Mochila,Accesorios,96,New York,M,Charcoal,Otoño,3.6,Si,Envio Dia Siguiente,Si,Si,4,Transferencia Bancaria ,Anualmente
107,64,Masculino,Chaqueta,Ropa exterior,35,Minnesota,L,Blanco,Verano,3.7,Si,Standard,Si,Si,31,Tarjeta de Credito,Mensualmente
108,28,Masculino,Tennis,Calzado,67,Maryland,L,Olive,Invierno,3.1,Si,Envio Dia Siguiente,Si,Si,46,PayPal,Quincena
109,70,Masculino,Calcetines,Vestimenta,79,Montana,L,Morado,Primavera,3.4,Si,Envio Dia Siguiente,Si,Si,32,Transferencia Bancaria ,Cada 2 semanas
110,58,Masculino,Playera,Vestimenta,85,Alabama,M,Violeta,Primavera,2.6,Si,Envio Dia Siguiente,Si,Si,43,Transferencia Bancaria ,Quincena
111,56,Masculino,Mochila,Accesorios,26,New York,M,Negro,Verano,4,Si,Standard,Si,Si,26,Venmo,Quincena
112,26,Masculino,Cinto,Accesorios,75,Massachusetts,L,Morado,Verano,5,Si,Envio Gratis,Si,Si,9,Tarjeta de Credito,Anualmente
113,37,Masculino,Guantes,Accesorios,65,Florida,M,Rojo,Primavera,4.3,Si,Envio Gratis,Si,Si,28,PayPal,Cada 2 semanas
114,44,Masculino,Sombrero,Accesorios,54,New Jersey,L,Maroon,Invierno,3.1,Si,Envio Dia Siguiente,Si,Si,20,PayPal,Trimestral
115,70,Masculino,Abrigo,Ropa exterior,95,Massachusetts,S,Azul,Verano,3.7,Si,Recojer en Tienda,Si,Si,9,Efectivo,Semanalmente
116,53,Masculino,Falda,Vestimenta,94,Wyoming,M,Gris,Primavera,3.8,Si,Standard,Si,Si,48,Tarjeta de Debito,Cada 3 Meses
117,55,Masculino,Zapatos,Calzado,86,Virginia,S,Azul,Primavera,3.4,Si,Envio Gratis,Si,Si,12,Venmo,Anualmente
118,50,Masculino,Sandalias,Calzado,32,South Dakota,L,Amarillo,Verano,4.6,Si,Express,Si,Si,29,Efectivo,Quincena
119,50,Masculino,Sueter,Vestimenta,45,Kentucky,L,Naranja,Otoño,4.8,Si,Envio 2-Dias,Si,Si,27,Efectivo,Cada 2 semanas
120,38,Masculino,Abrigo,Ropa exterior,76,Wyoming,M,Naranja,Otoño,4.3,Si,Express,Si,Si,44,Efectivo,Anualmente
121,64,Masculino,Sombrero,Accesorios,84,West Virginia,L,Rojo,Verano,4,Si,Express,Si,Si,32,Transferencia Bancaria ,Anualmente
122,19,Masculino,Shorts,Vestimenta,72,Virginia,M,Olive,Invierno,4.2,Si,Standard,Si,Si,11,Efectivo,Quincena
123,40,Masculino,Mochila,Accesorios,40,Washington,L,Cafe,Primavera,4.8,Si,Envio 2-Dias,Si,Si,44,Efectivo,Quincena
124,57,Masculino,Sueter,Vestimenta,89,Louisiana,L,Cafe,Otoño,3.1,Si,Envio Gratis,Si,Si,46,Efectivo,Semanalmente
125,44,Masculino,Sueter,Vestimenta,86,Nevada,M,Gris,Primavera,3.1,Si,Envio Dia Siguiente,Si,Si,50,PayPal,Anualmente
126,49,Masculino,Shorts,Vestimenta,54,California,M,Indigo,Invierno,3.6,Si,Envio Dia Siguiente,Si,Si,45,Venmo,Cada 3 Meses
127,43,Masculino,Shorts,Vestimenta,36,Mississippi,L,Rosa,Primavera,3.9,Si,Recojer en Tienda,Si,Si,48,Efectivo,Cada 3 Meses
128,24,Masculino,Sueter,Vestimenta,89,Mississippi,M,Gris,Invierno,4.8,Si,Envio Dia Siguiente,Si,Si,26,Tarjeta de Credito,Semanalmente
129,20,Masculino,Bufanda,Accesorios,32,California,M,Dorado,Primavera,4.7,Si,Standard,Si,Si,21,Tarjeta de Credito,Quincena
130,24,Masculino,Vestido,Vestimenta,67,Pennsylvania,XL,Olive,Verano,4.2,Si,Envio 2-Dias,Si,Si,49,PayPal,Cada 2 semanas
131,44,Masculino,Bufanda,Accesorios,39,Kentucky,L,Violeta,Otoño,3.7,Si,Envio Dia Siguiente,Si,Si,13,PayPal,Quincena
132,28,Masculino,Falda,Vestimenta,29,Maine,L,Indigo,Verano,3.9,Si,Standard,Si,Si,46,Tarjeta de Credito,Semanalmente
133,30,Masculino,Mochila,Accesorios,58,New Mexico,M,Naranja,Otoño,4.7,Si,Envio 2-Dias,Si,Si,42,PayPal,Semanalmente
134,52,Masculino,Sueter,Vestimenta,65,Montana,M,Violeta,Invierno,2.5,Si,Envio Dia Siguiente,Si,Si,25,Venmo,Anualmente
135,43,Masculino,Sombrero,Accesorios,94,Texas,L,Gris,Otoño,4.9,Si,Recojer en Tienda,Si,Si,25,Efectivo,Mensualmente
136,43,Masculino,Sandalias,Calzado,81,Kansas,M,Morado,Otoño,4.1,Si,Express,Si,Si,12,PayPal,Trimestral
137,39,Masculino,Blusa,Vestimenta,86,South Carolina,M,Blanco,Invierno,3.3,Si,Envio Gratis,Si,Si,4,Tarjeta de Debito,Trimestral
138,68,Masculino,Tennis,Calzado,43,Colorado,M,Turquesa,Primavera,4.7,Si,Envio Gratis,Si,Si,38,PayPal,Semanalmente
139,68,Masculino,Falda,Vestimenta,29,Georgia,M,Maroon,Invierno,4.4,Si,Recojer en Tienda,Si,Si,42,Transferencia Bancaria ,Semanalmente
140,49,Masculino,Abrigo,Ropa exterior,95,Florida,M,Blanco,Otoño,3.8,Si,Recojer en Tienda,Si,Si,30,Venmo,Anualmente
141,63,Masculino,Camiseta,Vestimenta,28,North Carolina,L,Amarillo,Otoño,3.9,Si,Envio 2-Dias,Si,Si,50,Tarjeta de Credito,Semanalmente
142,56,Masculino,Guantes,Accesorios,46,Virginia,M,Turquesa,Otoño,4.9,Si,Envio Gratis,Si,Si,45,PayPal,Semanalmente
143,37,Masculino,Chaqueta,Ropa exterior,58,Nebraska,L,Violeta,Otoño,3.1,Si,Envio Gratis,Si,Si,33,Tarjeta de Credito,Quincena
144,30,Masculino,Abrigo,Ropa exterior,48,Missouri,M,Beige,Otoño,2.7,Si,Recojer en Tienda,Si,Si,25,PayPal,Trimestral
145,19,Masculino,Zapatos,Calzado,43,New Jersey,M,Plateado,Otoño,3.2,Si,Express,Si,Si,25,Efectivo,Mensualmente
146,24,Masculino,Joyeria,Accesorios,95,Missouri,M,Teal,Otoño,4.5,Si,Standard,Si,Si,44,Tarjeta de Debito,Trimestral
147,52,Masculino,Falda,Vestimenta,30,Colorado,S,Negro,Otoño,4,Si,Standard,Si,Si,21,Venmo,Quincena
148,63,Masculino,Zapatos,Calzado,64,Idaho,M,Morado,Verano,3.5,Si,Envio 2-Dias,Si,Si,31,Transferencia Bancaria ,Quincena
149,37,Masculino,Guantes,Accesorios,90,Wyoming,M,Gris,Otoño,2.6,Si,Recojer en Tienda,Si,Si,47,Tarjeta de Debito,Anualmente
150,38,Masculino,Pantalones,Vestimenta,76,Delaware,M,Blanco,Verano,3.2,Si,Envio Gratis,Si,Si,14,PayPal,Mensualmente
151,35,Masculino,Botas,Calzado,96,California,L,Cyan,Otoño,4.9,Si,Standard,Si,Si,17,Tarjeta de Debito,Cada 3 Meses
152,28,Masculino,Lentes de sol,Accesorios,47,North Dakota,L,Turquesa,Otoño,4.5,Si,Envio Dia Siguiente,Si,Si,3,Venmo,Anualmente
153,30,Masculino,Camiseta,Vestimenta,85,South Carolina,S,Cafe,Verano,4.3,Si,Express,Si,Si,42,Venmo,Anualmente
154,69,Masculino,Hoodie,Vestimenta,55,North Carolina,M,Maroon,Invierno,3.2,Si,Standard,Si,Si,22,Tarjeta de Debito,Anualmente
155,41,Masculino,Vestido,Vestimenta,98,Oklahoma,M,Charcoal,Otoño,3.6,Si,Envio Dia Siguiente,Si,Si,21,Venmo,Trimestral
156,63,Masculino,Calcetines,Vestimenta,77,Maine,S,Olive,Primavera,4.3,Si,Envio Gratis,Si,Si,21,Transferencia Bancaria ,Trimestral
157,35,Masculino,Shorts,Vestimenta,26,Missouri,M,Lavender,Otoño,4,Si,Standard,Si,Si,40,Tarjeta de Debito,Anualmente
158,36,Masculino,Sombrero,Accesorios,68,Vermont,S,Amarillo,Otoño,3,Si,Envio Dia Siguiente,Si,Si,1,Transferencia Bancaria ,Quincena
159,25,Masculino,Camiseta,Vestimenta,73,Connecticut,XL,Teal,Otoño,4.1,Si,Standard,Si,Si,50,Transferencia Bancaria ,Mensualmente
160,58,Masculino,Guantes,Accesorios,27,New Hampshire,M,Charcoal,Otoño,3.8,Si,Recojer en Tienda,Si,Si,39,Transferencia Bancaria ,Cada 3 Meses
161,27,Masculino,Guantes,Accesorios,23,Texas,M,Naranja,Verano,4.6,Si,Envio Gratis,Si,Si,34,Venmo,Mensualmente
162,65,Masculino,Mochila,Accesorios,49,North Dakota,M,Olive,Otoño,3,Si,Express,Si,Si,29,Venmo,Quincena
163,54,Masculino,Lentes de sol,Accesorios,74,California,M,Turquesa,Verano,3,Si,Recojer en Tienda,Si,Si,31,PayPal,Cada 2 semanas
164,54,Masculino,Falda,Vestimenta,67,Virginia,M,Morado,Verano,3.4,Si,Standard,Si,Si,8,Tarjeta de Debito,Semanalmente
165,59,Masculino,Bolsa,Accesorios,65,Delaware,S,Morado,Primavera,2.6,Si,Envio Gratis,Si,Si,5,Tarjeta de Credito,Quincena
166,42,Masculino,Bolsa,Accesorios,60,Kentucky,S,Amarillo,Invierno,2.8,Si,Recojer en Tienda,Si,Si,7,Efectivo,Mensualmente
167,46,Masculino,Tennis,Calzado,31,Delaware,XL,Indigo,Otoño,4,Si,Recojer en Tienda,Si,Si,30,Efectivo,Mensualmente
168,33,Masculino,Guantes,Accesorios,27,Arkansas,M,Verde,Otoño,4,Si,Express,Si,Si,14,Tarjeta de Credito,Cada 3 Meses
169,34,Masculino,Zapatos,Calzado,80,Louisiana,M,Magenta,Verano,3,Si,Express,Si,Si,5,Efectivo,Quincena
170,27,Masculino,Chaqueta,Ropa exterior,30,Nevada,S,Dorado,Verano,3.3,Si,Standard,Si,Si,3,PayPal,Cada 3 Meses
171,52,Masculino,Camiseta,Vestimenta,25,Wyoming,M,Maroon,Otoño,2.6,Si,Recojer en Tienda,Si,Si,46,Venmo,Cada 2 semanas
172,29,Masculino,Shorts,Vestimenta,35,Virginia,M,Azul,Verano,3.6,Si,Recojer en Tienda,Si,Si,4,Tarjeta de Credito,Semanalmente
173,54,Masculino,Joyeria,Accesorios,67,Nebraska,M,Violeta,Verano,3.9,Si,Envio Dia Siguiente,Si,Si,42,Tarjeta de Credito,Cada 2 semanas
174,25,Masculino,Sombrero,Accesorios,46,Hawaii,M,Turquesa,Otoño,3.4,Si,Standard,Si,Si,30,Efectivo,Anualmente
175,41,Masculino,Zapatos,Calzado,35,Vermont,L,Cafe,Invierno,3.5,Si,Express,Si,Si,37,Venmo,Anualmente
